Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision,8th decision,9th decision,10th decision,11th decision,12th decision,13th decision,14th decision,15th decision,16th decision
1,df 3,df 0,tl 4,bl 0,cl 2,0,0,0,0,0,0,0,0,0,0,0
2,cl 3,cl 0,tl 4,bl 0,cl 1,0,0,0,0,0,0,0,0,0,0,0
3,df 1,bl 4,cl 2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,df 1,cl 3,df 0,cl 1,bl 4,tl 2,cl 0,df 0,tl 2,bl 4,cl 3,df 1,bl 3,bl 4,df 0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,rh 1,cl 1,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bl 1,cl 2,rh 1,tl 2,df 2,0,0,0,0,0,0,0,0,0,0,0
8,bl 2,df 0,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,tl 2,cl 0,tl 4,df 1,0,0,0,0,0,0,0,0,0,0,0,0
10,df 1,tl 3,bl 3,at 0,0,0,0,0,0,0,0,0,0,0,0,0
11,at 0,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,tl 4,bl 4,df 1,cl 1,at 0,0,0,0,0,0,0,0,0,0,0,0
13,df 1,tl 3,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
14,df 1,tl 1,cl 0,tl 0,bl 2,cl 0,df 0,0,0,0,0,0,0,0,0,0
15,bl 4,cl 3,at 0,df 3,cl 1,df 0,tl 0,0,0,0,0,0,0,0,0,0
16,df 1,rh 1,bl 0,tl 4,cl 3,cl 0,tl 0,at 1,0,0,0,0,0,0,0,0
17,df 3,cl 3,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0
18,cl 3,tl 3,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0
19,bl 4,at 1,at 0,cl 2,0,0,0,0,0,0,0,0,0,0,0,0
20,bl 0,cl 0,tl 4,bl 4,tl 0,cl 3,tl 4,df 0,rh 0,at 0,0,0,0,0,0,0
21,cl 0,bl 0,df 0,cl 3,rh 1,rh 0,at 0,bl 2,cl 2,df 0,0,0,0,0,0,0
22,rh 1,bl 4,rh 0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,rh 1,df 1,rh 0,bl 3,cl 2,bl 2,0,0,0,0,0,0,0,0,0,0
24,bl 4,tl 4,cl 3,df 1,bl 0,bl 3,0,0,0,0,0,0,0,0,0,0
25,bl 3,rh 1,at 1,bl 4,at 0,cl 2,df 0,0,0,0,0,0,0,0,0,0
26,df 1,bl 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,df 1,cl 1,tl 2,cl 3,bl 4,0,0,0,0,0,0,0,0,0,0,0
28,cl 3,rh 0,df 1,bl 3,cl 0,tl 4,at 1,at 0,df 1,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,rh 1,tl 1,cl 1,at 1,cl 2,df 1,cl 1,rh 0,at 0,df 0,tl 4,cl 0,0,0,0,0
31,cl 1,rh 1,df 0,df 1,tl 2,cl 3,0,0,0,0,0,0,0,0,0,0
32,cl 1,bl 1,df 2,at 1,df 0,0,0,0,0,0,0,0,0,0,0,0
33,bl 1,at 1,cl 3,tl 0,cl 0,at 0,cl 3,tl 4,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,cl 3,at 0,df 1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,cl 3,df 1,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
37,bl 1,df 0,tl 0,bl 0,0,0,0,0,0,0,0,0,0,0,0,0
38,at 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,df 0,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,tl 4,cl 2,bl 1,df 1,rh 0,at 1,df 0,at 0,tl 4,0,0,0,0,0,0,0
41,cl 3,tl 3,bl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
42,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,bl 4,cl 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,df 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
